,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
2032,7318.066862,3658.716017,0.0,200271.28,offwind-ac,1.0,0.0,True,GB5 3,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
2033,16132.98259,8919.926672,0.0,227870.2097,offwind-dc,1.0,0.0,True,GB5 3,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
2034,4167.270228,1870.75969,0.0,109295.5693,onwind,1.0,0.0,True,GB5 3,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
2035,3308.610127,310.5261971,0.0,55064.07142,solar,1.0,0.0,True,GB5 3,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
2036,inf,0.0,38.0,0.0,biomass,0.468,0.0,False,GB5 30,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2037,inf,0.0,1207.0,0.0,nuclear,0.337,0.0,False,GB5 30,16.90207715,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2038,3051.708402,1387.16061,0.0,196128.9801,offwind-ac,1.0,0.0,True,GB5 30,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2039,1.798221019,1.052868621,0.0,242968.8334,offwind-dc,1.0,0.0,True,GB5 30,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2040,2994.375493,1337.274815,0.0,109295.5693,onwind,1.0,0.0,True,GB5 30,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2041,2222.681395,194.9791206,0.0,55064.07142,solar,1.0,0.0,True,GB5 30,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,279,GB5 30,UK,UK
2042,inf,0.0,810.0,0.0,CCGT,0.5,0.2052,False,GB5 31,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2043,inf,0.0,20.0,0.0,biomass,0.468,0.0,False,GB5 31,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2044,inf,0.0,1961.0,0.0,coal,0.464,0.3384,False,GB5 31,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2045,inf,0.0,35.0,0.0,oil,0.393,0.36,False,GB5 31,130.2264631,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2046,1671.90933,521.8875295,0.0,109295.5693,onwind,1.0,0.0,True,GB5 31,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2047,1378.5561,124.5609938,0.0,55064.07142,solar,1.0,0.0,True,GB5 31,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,280,GB5 31,UK,UK
2048,inf,0.0,1240.0,0.0,CCGT,0.5,0.2052,False,GB5 32,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,281,GB5 32,UK,UK
2049,495.7021121,228.9600795,0.0,198608.5677,offwind-ac,1.0,0.0,True,GB5 32,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,281,GB5 32,UK,UK
2050,8831.753785,3525.306778,0.0,109295.5693,onwind,1.0,0.0,True,GB5 32,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,281,GB5 32,UK,UK
2051,6127.003953,583.0230182,0.0,55064.07142,solar,1.0,0.0,True,GB5 32,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,281,GB5 32,UK,UK
2052,inf,0.0,50.0,0.0,OCGT,0.39,0.2052,False,GB5 33,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,282,GB5 33,UK,UK
2053,inf,0.0,1.1,0.0,biomass,0.468,0.0,False,GB5 33,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,282,GB5 33,UK,UK
2054,3168.488755,1409.264985,0.0,198299.1844,offwind-ac,1.0,0.0,True,GB5 33,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,282,GB5 33,UK,UK
2055,3078.053235,1142.961543,0.0,109295.5693,onwind,1.0,0.0,True,GB5 33,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,282,GB5 33,UK,UK
2056,2190.961066,217.7605203,0.0,55064.07142,solar,1.0,0.0,True,GB5 33,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,282,GB5 33,UK,UK
2057,inf,0.0,740.0,0.0,CCGT,0.5,0.2052,False,GB5 34,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,283,GB5 34,UK,UK
2058,inf,0.0,17.0,0.0,oil,0.393,0.36,False,GB5 34,130.2264631,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,283,GB5 34,UK,UK
2059,2758.21908,1001.502371,0.0,109295.5693,onwind,1.0,0.0,True,GB5 34,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,283,GB5 34,UK,UK
2060,2462.548797,232.2321819,0.0,55064.07142,solar,1.0,0.0,True,GB5 34,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,283,GB5 34,UK,UK
2061,inf,0.0,10.0,0.0,OCGT,0.39,0.2052,False,GB5 35,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,284,GB5 35,UK,UK
2062,inf,0.0,1.2,0.0,biomass,0.468,0.0,False,GB5 35,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,284,GB5 35,UK,UK
2063,6587.33915,2269.717342,0.0,109295.5693,onwind,1.0,0.0,True,GB5 35,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,284,GB5 35,UK,UK
